"Email Address","Adres email"
"Card title 6 or more characters","XXX"
"Show separately in a shop channel","Pokaż osobno w sklepie kanał"
"Enabled","Włącz"
"Disabled","Wyłącz"
"Yes","Tak"
"No","Nie"
"Enable/Disable","Włącz/Wyłącz"
"Enable Dotpay Payment","Włącz Płatności Dotpay"
"Dotpay customer ID","ID klienta Dotpay"
"Dotpay customer PIN","PIN klienta Dotpay"
"One-Click","One-Click"
"MasterPass","MasterPass"
"BLIK","BLIK"
"Widget","Widżet"
"Display payment channels in a shop","Pokaż kanały płatności w sklepie"
"Security","Bezpieczeństwo"
"Protect data sent","Zabezpiecz wysyłane dane"
"Testing environment","Środowisko testowe"
"Only payment simulation. Forced PLN.","Symulacja płatności z walutą PLN."
"Title","Tytuł"
"This controls the title which user sees during checkout.","Tytuł, który widzi użytkownik podczas składania zamówienia."
"Customer Message","Wiadomość dla Klienta"
"Card register","Rejestracja karty"
"You chose payment by Dotpay. Select a payment channel and click Continue do proceed","Wybrałeś płatność poprzez Dotpay. Wybierz kanał płatności i kliknij Kontynuuj aby przejść dalej."
"Thank you for your order. We are now redirecting you to channel payment.","Dziękujemy za zamówienie. Zostaniesz przekierowany teraz do kanału płatności."
"You chose payment by Dotpay. Click Continue do proceed","Wybrałeś płatność poprzez Dotpay. Kliknij Kontynuuj aby przejść dalej."
"Thank you for your order. We are now redirecting you to Dotpay to make payment.","Dziękujemy za zamówienie. Zostaniesz przekierowany teraz do Dotpay, aby dokonać płatności."
"6 or more characters","Wpisz 6 lub więcej znaków"
"Card title 6 or more characters","Tytuł karty 6 lub więcej znaków"
"Remember your data card (Your card details are safely stored in Dotpay. There will be no need for them to enter the next payment in the store.)","Zapamiętaj dane Twoje karty (Dane Twojej karty zostaną bezpiecznie przechowane w Dotpay. Nie będzie konieczności ich podawania przy kolejnych płatnościach w tym sklepie.)"
"Only 6 digits","Wpisz 6 cyfr"
"Blik code 6 digits","Kod Blik 6 cyfr"
"Transaction Details","Szczegóły Płatności"
"Continue","Kontynuuj"
"My card","Moja karta"
"Credit card payment via Dotpay","Płatność poprzez Dotpay"
"Shop - ","Sklep - "
"Order ID: ","Nr zamówienia: "
"in a shop","w sklepie"
"Checkout with Dotpay","Płać z Dotpay"
